"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,,,,,,,,,,
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA,,,,,,,,,,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INTERVALO DE TEMPO: SEMANAL,,,,,,,,,,,,,,
PERÍODO: 11/05/2025 A 17/05/2025,,,,,,,,,,,,,,
COMBUSTÍVEL: TODOS,,,,,,,,,,,,,,
TIPO RELATÓRIO: MUNICÍPIO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE DE MEDIDA,PREÇO DE REVENDA,DATA DA COLETA
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,GASOLINA ADITIVADA,R$ / litro,"7,69",5/15/2025
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,DIESEL S500,R$ / litro,"7,79",5/15/2025
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,DIESEL S10,R$ / litro,"7,84",5/15/2025
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,ETANOL,R$ / litro,"5,49",5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,"118,00",5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,"7,60",5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,"7,50",5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,DIESEL S10,R$ / litro,"7,55",5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,"5,29",5/15/2025
 04.087.649/0001-42,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,"122,00",5/15/2025
