"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,,,,,,,,,,
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA,,,,,,,,,,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INTERVALO DE TEMPO: SEMANAL,,,,,,,,,,,,,,
PERÍODO: 11/05/2025 A 17/05/2025,,,,,,,,,,,,,,
COMBUSTÍVEL: TODOS,,,,,,,,,,,,,,
TIPO RELATÓRIO: MUNICÍPIO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE DE MEDIDA,PREÇO DE REVENDA,DATA DA COLETA
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,GASOLINA ADITIVADA,R$ / litro,7.69,5/15/2025
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,DIESEL S500,R$ / litro,7.79,5/15/2025
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,DIESEL S10,R$ / litro,7.84,5/15/2025
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,ETANOL,R$ / litro,5.49,5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,118.00,5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,7.60,5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,7.50,5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,DIESEL S10,R$ / litro,7.55,5/15/2025
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,5.29,5/15/2025
 04.087.649/0001-42,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,122.00,5/15/2025
 04.087.649/0001-42,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,7.64,5/15/2025
 04.087.649/0001-42,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,7.64,5/15/2025
 04.087.649/0001-42,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,5.49,5/15/2025
 04.767.269/0001-59,POSTO FLORESTA E AGROPECUARIA LTDA,,ESTRADA DA FLORESTA,684,,FLORESTA,69906-380,RIO BRANCO,ACRE,AMAZONGÁS,GLP,R$ / 13 kg,116.00,5/15/2025
 08.738.994/0001-50,AUTO POSTO M M GARROTE LTDA,POSTO FLEX,RODOVIA AL-220,5848,KM    96,BOM SUCESSO,57309-035,ARAPIRACA,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,5.89,5/14/2025
 08.738.994/0001-50,AUTO POSTO M M GARROTE LTDA,POSTO FLEX,RODOVIA AL-220,5848,KM    96,BOM SUCESSO,57309-035,ARAPIRACA,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.39,5/14/2025
 08.738.994/0001-50,AUTO POSTO M M GARROTE LTDA,POSTO FLEX,RODOVIA AL-220,5848,KM    96,BOM SUCESSO,57309-035,ARAPIRACA,ALAGOAS,VIBRA,ETANOL,R$ / litro,4.88,5/14/2025
 07.248.398/0001-29,AUTO POSTO MASSARANDUBA LTDA.,POSTO MASSARANDUBA,RODOVIA AL 220,4698,,PLANALTO,57308-000,ARAPIRACA,ALAGOAS,BRANCA,GASOLINA COMUM,R$ / litro,5.69,5/14/2025
 07.248.398/0001-29,AUTO POSTO MASSARANDUBA LTDA.,POSTO MASSARANDUBA,RODOVIA AL 220,4698,,PLANALTO,57308-000,ARAPIRACA,ALAGOAS,BRANCA,GASOLINA ADITIVADA,R$ / litro,5.88,5/14/2025
 07.248.398/0001-29,AUTO POSTO MASSARANDUBA LTDA.,POSTO MASSARANDUBA,RODOVIA AL 220,4698,,PLANALTO,57308-000,ARAPIRACA,ALAGOAS,BRANCA,DIESEL S500,R$ / litro,6.69,5/14/2025
 07.248.398/0001-29,AUTO POSTO MASSARANDUBA LTDA.,POSTO MASSARANDUBA,RODOVIA AL 220,4698,,PLANALTO,57308-000,ARAPIRACA,ALAGOAS,BRANCA,ETANOL,R$ / litro,4.88,5/14/2025
 12.706.529/0001-04,AUTO POSTO SAO FRANCISCO LTDA,POSTO SÃO FRANCISCO LTDA.,RUA SAO FRANCISCO,274,,CENTRO,57300-080,ARAPIRACA,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,5.75,5/14/2025
 12.706.529/0001-04,AUTO POSTO SAO FRANCISCO LTDA,POSTO SÃO FRANCISCO LTDA.,RUA SAO FRANCISCO,274,,CENTRO,57300-080,ARAPIRACA,ALAGOAS,VIBRA,ETANOL,R$ / litro,4.55,5/14/2025
 24.313.645/0001-42,POSTO E HOTEL DI'VAN LTDA,POSTO DIVAN,AVENIDA ANTONIO SERMEAO L FILHO,406,,JARDIM TROPICAL,57304-820,ARAPIRACA,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.19,5/14/2025
 12.396.339/0001-38,DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA,,RUA QUINZE DE NOVEMBRO,451,,BRASILIA,57313-015,ARAPIRACA,ALAGOAS,RAIZEN,GASOLINA COMUM,R$ / litro,5.98,5/14/2025
 01.242.690/0001-58,IBN PINTO E SILVA & CIA LTDA,,RODOVIA AL-110,678,KM    70,CANAFISTULA,57302-802,ARAPIRACA,ALAGOAS,BRANCA,GNV,R$ / m³,4.89,5/14/2025
 01.242.690/0001-58,IBN PINTO E SILVA & CIA LTDA,,RODOVIA AL-110,678,KM    70,CANAFISTULA,57302-802,ARAPIRACA,ALAGOAS,BRANCA,GASOLINA COMUM,R$ / litro,5.99,5/14/2025
 01.242.690/0001-58,IBN PINTO E SILVA & CIA LTDA,,RODOVIA AL-110,678,KM    70,CANAFISTULA,57302-802,ARAPIRACA,ALAGOAS,BRANCA,GASOLINA ADITIVADA,R$ / litro,6.19,5/14/2025
 01.242.690/0001-58,IBN PINTO E SILVA & CIA LTDA,,RODOVIA AL-110,678,KM    70,CANAFISTULA,57302-802,ARAPIRACA,ALAGOAS,BRANCA,DIESEL S10,R$ / litro,5.94,5/14/2025
 01.242.690/0001-58,IBN PINTO E SILVA & CIA LTDA,,RODOVIA AL-110,678,KM    70,CANAFISTULA,57302-802,ARAPIRACA,ALAGOAS,BRANCA,ETANOL,R$ / litro,4.99,5/14/2025
 12.436.978/0001-80,AUTO POSTO FREITAS & MAIA LTDA,POSTO ALDO,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,7.19,5/12/2025
 12.436.978/0001-80,AUTO POSTO FREITAS & MAIA LTDA,POSTO ALDO,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,7.23,5/12/2025
 12.436.978/0001-80,AUTO POSTO FREITAS & MAIA LTDA,POSTO ALDO,RUA FLORIANO PEIXOTO,247,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,DIESEL S10,R$ / litro,7.03,5/12/2025
 05.518.639/0001-87,AUTO POSTO DA PEDRA LTDA,,RUA FLORIANO PEIXOTO,281,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,7.19,5/12/2025
 05.518.639/0001-87,AUTO POSTO DA PEDRA LTDA,,RUA FLORIANO PEIXOTO,281,,CENTRO,57480-000,DELMIRO GOUVEIA,ALAGOAS,VIBRA,ETANOL,R$ / litro,5.12,5/12/2025
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,GASOLINA COMUM,R$ / litro,7.15,5/12/2025
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,GASOLINA ADITIVADA,R$ / litro,7.15,5/12/2025
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,DIESEL S500,R$ / litro,6.95,5/12/2025
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,DIESEL S10,R$ / litro,6.99,5/12/2025
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,ETANOL,R$ / litro,5.08,5/12/2025
 05.331.412/0002-09,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GNV,R$ / m³,5.19,5/13/2025
 05.331.412/0002-09,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.33,5/13/2025
 05.331.412/0002-09,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.43,5/13/2025
 05.331.412/0002-09,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,DIESEL S10,R$ / litro,6.59,5/13/2025
 05.331.412/0002-09,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,1640,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,ETANOL,R$ / litro,5.10,5/13/2025
 05.562.589/0001-35,A. B. LESSA NETO & CIA LTDA,,AVENIDA VIEIRA DE BRITO,1888,,VILA MARIA,57607-570,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.35,5/13/2025
 05.562.589/0001-35,A. B. LESSA NETO & CIA LTDA,,AVENIDA VIEIRA DE BRITO,1888,,VILA MARIA,57607-570,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.45,5/13/2025
 05.562.589/0001-35,A. B. LESSA NETO & CIA LTDA,,AVENIDA VIEIRA DE BRITO,1888,,VILA MARIA,57607-570,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,DIESEL S10,R$ / litro,6.35,5/13/2025
 05.562.589/0001-35,A. B. LESSA NETO & CIA LTDA,,AVENIDA VIEIRA DE BRITO,1888,,VILA MARIA,57607-570,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,ETANOL,R$ / litro,5.09,5/13/2025
 08.623.068/0001-39,BALBINO & CIA LTDA,POSTO BR - 26,AVENIDA MUNIZ FALCAO,1,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,RAIZEN,GASOLINA COMUM,R$ / litro,6.38,5/13/2025
 08.623.068/0001-39,BALBINO & CIA LTDA,POSTO BR - 26,AVENIDA MUNIZ FALCAO,1,,JOSE MAIA COSTA,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,RAIZEN,DIESEL S10,R$ / litro,6.69,5/13/2025
 08.413.304/0001-92,AMORIM & CORREIA LTDA,,RUA PEDRO BARBOSA,S/N,,CENTRO,57601-080,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.35,5/13/2025
 08.413.304/0001-92,AMORIM & CORREIA LTDA,,RUA PEDRO BARBOSA,S/N,,CENTRO,57601-080,PALMEIRA DOS INDIOS,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.47,5/13/2025
 05.331.412/0001-28,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,218,,SAO FRANCISCO,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,BRANCA,GASOLINA COMUM,R$ / litro,6.33,5/13/2025
 05.331.412/0001-28,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,218,,SAO FRANCISCO,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,BRANCA,GASOLINA ADITIVADA,R$ / litro,6.43,5/13/2025
 05.331.412/0001-28,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,218,,SAO FRANCISCO,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,BRANCA,DIESEL S10,R$ / litro,6.59,5/13/2025
 05.331.412/0001-28,SEVERINO S. LOPES & CIA. LTDA,ECO POSTO PALMEIRA,AVENIDA MUNIZ FALCAO,218,,SAO FRANCISCO,57602-490,PALMEIRA DOS INDIOS,ALAGOAS,BRANCA,ETANOL,R$ / litro,5.10,5/13/2025
 12.486.809/0004-05,CDA EMPREENDIMENTOS LTDA,POSTO CHÃ DE ATALAIA,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,VIBRA,GNV,R$ / m³,4.79,5/14/2025
 12.486.809/0004-05,CDA EMPREENDIMENTOS LTDA,POSTO CHÃ DE ATALAIA,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.19,5/14/2025
 12.486.809/0004-05,CDA EMPREENDIMENTOS LTDA,POSTO CHÃ DE ATALAIA,RODOVIA BR 104 AL. KM 86,SN,,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.35,5/14/2025
 01.600.494/0001-08,OLIVEIRA & FREITAS LTDA,JOSE DE FREITAS LINS,LOTEAMENTO VILA RICA,S/N,LOTE  12                  QUADRAB,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,IPIRANGA,GASOLINA COMUM,R$ / litro,6.39,5/14/2025
 01.600.494/0001-08,OLIVEIRA & FREITAS LTDA,JOSE DE FREITAS LINS,LOTEAMENTO VILA RICA,S/N,LOTE  12                  QUADRAB,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,IPIRANGA,DIESEL S10,R$ / litro,6.64,5/14/2025
 01.600.494/0001-08,OLIVEIRA & FREITAS LTDA,JOSE DE FREITAS LINS,LOTEAMENTO VILA RICA,S/N,LOTE  12                  QUADRAB,MATA DO ROLO,57100-000,RIO LARGO,ALAGOAS,IPIRANGA,ETANOL,R$ / litro,5.19,5/14/2025
 05.459.764/0001-63,AUTO POSTO FORENE LTDA,,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,RIO LARGO,ALAGOAS,VIBRA,GNV,R$ / m³,4.79,5/14/2025
 05.459.764/0001-63,AUTO POSTO FORENE LTDA,,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.19,5/14/2025
 05.459.764/0001-63,AUTO POSTO FORENE LTDA,,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.29,5/14/2025
 05.459.764/0001-63,AUTO POSTO FORENE LTDA,,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,RIO LARGO,ALAGOAS,VIBRA,ETANOL,R$ / litro,4.89,5/14/2025
 05.101.388/0001-30,AUTO POSTO PIONEIRO LTDA,AUTO POSTO PIONEIRO,RODOVIA BR 101 NORTE KM 75,S/N,ZONA RURAL,ZONA RURAL,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA COMUM,R$ / litro,6.14,5/14/2025
 05.101.388/0001-30,AUTO POSTO PIONEIRO LTDA,AUTO POSTO PIONEIRO,RODOVIA BR 101 NORTE KM 75,S/N,ZONA RURAL,ZONA RURAL,57100-000,RIO LARGO,ALAGOAS,VIBRA,GASOLINA ADITIVADA,R$ / litro,6.34,5/14/2025
 05.101.388/0001-30,AUTO POSTO PIONEIRO LTDA,AUTO POSTO PIONEIRO,RODOVIA BR 101 NORTE KM 75,S/N,ZONA RURAL,ZONA RURAL,57100-000,RIO LARGO,ALAGOAS,VIBRA,DIESEL S10,R$ / litro,5.89,5/14/2025
 05.101.388/0001-30,AUTO POSTO PIONEIRO LTDA,AUTO POSTO PIONEIRO,RODOVIA BR 101 NORTE KM 75,S/N,ZONA RURAL,ZONA RURAL,57100-000,RIO LARGO,ALAGOAS,VIBRA,ETANOL,R$ / litro,4.99,5/14/2025
 09.368.602/0001-70,F.J. COMERCIO DE COMBUSTIVEIS LTDA,POSTP PA257,RUA PARAIBA,41,CONJ  MACURANY,RAIMUNDO MUNIZ,69151-456,PARINTINS,AMAZONAS,FOGAS,GLP,R$ / 13 kg,140.00,5/15/2025
 09.368.602/0001-70,F.J. COMERCIO DE COMBUSTIVEIS LTDA,POSTP PA257,RUA PARAIBA,41,CONJ  MACURANY,RAIMUNDO MUNIZ,69151-456,PARINTINS,AMAZONAS,BRANCA,GASOLINA COMUM,R$ / litro,8.39,5/15/2025
 09.368.602/0001-70,F.J. COMERCIO DE COMBUSTIVEIS LTDA,POSTP PA257,RUA PARAIBA,41,CONJ  MACURANY,RAIMUNDO MUNIZ,69151-456,PARINTINS,AMAZONAS,BRANCA,GASOLINA ADITIVADA,R$ / litro,8.39,5/15/2025
 09.368.602/0001-70,F.J. COMERCIO DE COMBUSTIVEIS LTDA,POSTP PA257,RUA PARAIBA,41,CONJ  MACURANY,RAIMUNDO MUNIZ,69151-456,PARINTINS,AMAZONAS,BRANCA,DIESEL S10,R$ / litro,8.39,5/15/2025
 03.659.452/0006-82,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA,,RUA CICERO MARQUES DE SOUZA,3134,,NOVO HORIZONTE,68909-803,MACAPA,AMAPA,BRANCA,GASOLINA COMUM,R$ / litro,6.02,5/13/2025
 03.659.452/0003-30,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA,,RUA CLAUDOMIRO DE MORAES,1130,,NOVO BURITIZAL,68904-000,MACAPA,AMAPA,BRANCA,GASOLINA COMUM,R$ / litro,6.02,5/13/2025
 03.659.452/0004-10,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA,,AVENIDA VIOLETA MONT'ALVERNE MOREIRA,275,,CONGOS,68900-000,MACAPA,AMAPA,BRANCA,GASOLINA COMUM,R$ / litro,6.02,5/13/2025
 05.297.501/0002-86,SEPE TIARAJU EMPREENDIMENTOS LTDA,POSTO TIARAJÚ II,RUA SETENTRIONAL,S/N,ESQUINA COM BEIRA RIO,ARAXÁ,68903-640,MACAPA,AMAPA,BRANCA,GASOLINA COMUM,R$ / litro,6.04,5/13/2025
 05.297.501/0002-86,SEPE TIARAJU EMPREENDIMENTOS LTDA,POSTO TIARAJÚ II,RUA SETENTRIONAL,S/N,ESQUINA COM BEIRA RIO,ARAXÁ,68903-640,MACAPA,AMAPA,BRANCA,GASOLINA ADITIVADA,R$ / litro,6.14,5/13/2025
 05.297.501/0002-86,SEPE TIARAJU EMPREENDIMENTOS LTDA,POSTO TIARAJÚ II,RUA SETENTRIONAL,S/N,ESQUINA COM BEIRA RIO,ARAXÁ,68903-640,MACAPA,AMAPA,BRANCA,DIESEL S500,R$ / litro,6.42,5/13/2025
 05.297.501/0002-86,SEPE TIARAJU EMPREENDIMENTOS LTDA,POSTO TIARAJÚ II,RUA SETENTRIONAL,S/N,ESQUINA COM BEIRA RIO,ARAXÁ,68903-640,MACAPA,AMAPA,BRANCA,DIESEL S10,R$ / litro,6.48,5/13/2025
 05.297.501/0002-86,SEPE TIARAJU EMPREENDIMENTOS LTDA,POSTO TIARAJÚ II,RUA SETENTRIONAL,S/N,ESQUINA COM BEIRA RIO,ARAXÁ,68903-640,MACAPA,AMAPA,BRANCA,ETANOL,R$ / litro,5.33,5/13/2025
 03.659.452/0002-59,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA,,RUA HILDEMAR MAIA,900,A,SANTA RITA,68901-310,MACAPA,AMAPA,BRANCA,GASOLINA COMUM,R$ / litro,6.02,5/13/2025
 04.707.467/0001-27,COMERCIAL GRAO DE OURO LTDA,POSTO GRAO DE OURO,RUA HILDEMAR MAIA,1951,,BURITIZAL,68905-160,MACAPA,AMAPA,BRANCA,GASOLINA COMUM,R$ / litro,6.02,5/13/2025
 04.707.467/0001-27,COMERCIAL GRAO DE OURO LTDA,POSTO GRAO DE OURO,RUA HILDEMAR MAIA,1951,,BURITIZAL,68905-160,MACAPA,AMAPA,BRANCA,ETANOL,R$ / litro,5.28,5/13/2025
